@relation 'TRAININGDATA-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-12'

@attribute selectivity numeric
@attribute postgesEstCostMax numeric
@attribute postgesEstWidth numeric
@attribute numberOfWorkers numeric
@attribute realTime numeric

@data
0.1,515441.75,50,4,6.65736
1,518528.69,50,4,6.30757
10,528386.95,50,4,7.971883
100,603121.98,50,4,22.461812
0.1,518427.2,57,4,6.304507
100,621362.48,57,4,24.831212
0.1,518427.2,64,4,4.94359
100,621362.48,64,4,28.706627
0.1,521357.2,71,4,7.83479
100,624292.48,71,4,30.498266
0.1,527245.2,93,4,6.098159
10,543255.6,93,4,10.481961
100,638124.48,93,4,43.860338
100,646098.48,101,4,42.711956
10,545415.6,109,4,13.759646
100,654072.48,109,4,51.643347
10,546495.6,117,4,14.337482
100,662046.48,117,4,45.034782
0.1,527359.2,125,4,5.94822
1,532181.28,125,4,6.434021
0.1,527359.2,133,4,5.999278
1,532181.28,133,4,6.70004
10,547573.6,133,4,13.934894
100,670020.48,133,4,58.270129
1,532461.28,141,4,6.827555
100,677996.48,141,4,49.964159
1,533019.28,157,4,7.051502
10,550813.6,157,4,12.596466
100,693944.48,157,4,65.299999
1,533299.28,165,4,7.388616
10,551891.6,165,4,18.98524
100,701918.48,165,4,60.702652
0.1,527505.2,173,4,5.984665
1,533579.28,173,4,7.260795
0.1,527533.2,181,4,6.490599
1,533859.28,181,4,7.259547
1,534137.28,189,4,7.620014
1,534417.28,197,4,7.439795
100,733814.48,197,4,82.23959
0.1,527619.2,205,4,5.94134
10,557289.6,205,4,21.553132
0.1,527649.2,213,4,7.424548
100,749764.48,213,4,73.790372
10,559449.6,221,4,17.917697
0.1,527707.2,229,4,5.996514
1,535535.28,229,4,8.84501
100,765712.48,229,4,86.287494
0.1,527735.2,237,4,5.771977
1,535815.28,237,4,8.344992
10,562687.6,245,4,15.955293
10,563767.6,253,4,19.461536
100,789634.48,253,4,86.966051
10,566697.6,269,4,19.653311
100,792564.48,269,4,97.482054
0.1,533653.2,277,4,6.605376
1,542233.28,277,4,8.53673
10,572557.6,285,4,20.868477
100,798424.48,285,4,96.984003
0.1,539513.2,293,4,6.923907
10,575487.6,293,4,18.222348
100,801354.48,293,4,99.324371
0.1,542443.2,301,4,7.389331
10,578417.6,301,4,18.407979
100,804284.48,301,4,100.944871
0.1,590553.49,50,4,5.445285
1,597458.51,50,4,5.826795
100,799320,50,4,34.518914
100,860337.49,101,4,42.035879
1,622854.51,108,4,7.155726
100,878578,108,4,42.830559
0.1,614193.49,115,4,6.918127
10,650503.09,115,4,12.268535
100,878578,115,4,47.193896
0.1,617123.49,122,4,7.312073
1,625784.51,122,4,8.179727
1,628714.51,129,4,9.824563
1,631642.51,136,4,8.487567
0.1,625996.94,143,4,10.790848
1,635387.1,143,4,8.893703
10,665373.74,143,4,20.368864
100,913580.5,143,4,65.26545
10,669379.74,150,4,17.586489
100,935386.5,164,4,76.784616
0.1,631968.94,172,4,9.70641
10,675549.74,172,4,26.24402
100,967282.5,180,4,82.144477
1,643481.1,188,4,11.732079
100,983230.5,188,4,86.661086
10,682025.74,196,4,23.8216
0.1,632170.94,204,4,13.358081
1,644321.1,204,4,12.800426
1,644321.1,212,4,11.651779
10,683105.74,212,4,27.367782
100,1007154.5,212,4,91.599609
0.1,632228.94,220,4,9.538919
10,685265.74,220,4,29.178559
100,1023104.5,220,4,98.058088
1,645439.1,228,4,11.081742
10,687423.74,228,4,24.464639
100,1039052.5,228,4,97.454873
0.1,632344.94,236,4,9.786201
1,645997.1,236,4,10.962803
100,1055000.5,236,4,116.993483
0.1,632402.94,244,4,9.966161
1,646555.1,244,4,11.288132
10,691741.74,244,4,26.078378
10,693901.74,252,4,29.582609
0.1,632518.94,260,4,10.383889
1,647675.1,260,4,12.76163
10,696059.74,260,4,28.077672
100,1102844.5,260,4,105.704727
1,648233.1,268,4,12.133178
10,698219.74,268,4,26.190893
1,648791.1,276,4,14.798307
0.1,632690.94,284,4,10.68137
1,649351.1,284,4,18.779754
10,704695.74,292,4,31.157616
0.1,632806.94,300,4,11.424587
100,1182588.5,300,4,126.121214
100,1198536.5,308,4,130.593486
1,651587.1,316,4,13.289354
10,711173.74,316,4,38.448166
1,652145.1,324,4,14.63416
0.1,633036.94,332,4,10.056216
1,652705.1,332,4,16.25258
100,1246380.5,332,4,136.489141
10,715491.74,340,4,29.488173
0.1,635966.94,348,4,13.111278
100,1249310.5,348,4,146.258527
10,721351.74,356,4,30.81201
100,1252240.5,356,4,152.952202
10,724281.74,364,4,51.768039
10,727211.74,372,4,32.788478
100,1258100.5,372,4,151.926378
10,730141.74,380,4,61.657767
100,1261030.5,380,4,182.090439
0.1,647716.94,388,4,11.061117
100,1269004.5,388,4,178.816623
100,1279908.5,396,4,177.533822
0.1,653634.94,404,4,13.319429
10,739239.74,404,4,34.459094
100,1290814.5,404,4,201.784388
0.1,656592.94,412,4,12.113776
1,677263.1,412,4,16.809751
10,743249.74,412,4,45.992376
100,1301718.5,412,4,185.766042
0.1,659552.94,420,4,12.115356
10,747259.74,420,4,42.401222
100,1312622.5,420,4,183.469321
0.1,638796.26,50,4,6.443011
1,649450.6,50,4,10.948176
100,966425.01,50,4,80.075747
0.1,659450.81,101,4,7.170204
10,709460.81,101,4,17.02444
100,1027442.51,101,4,82.521118
10,737166.81,151,4,18.206093
1,692150.6,158,4,12.383494
100,1163019.01,158,4,93.515089
1,692150.6,165,4,10.540393
100,1163019.01,165,4,99.894897
1,695080.6,172,4,11.479987
10,745099.46,172,4,23.356549
0.1,682344.26,179,4,11.92636
1,698010.6,179,4,14.754227
1,700938.6,186,4,13.730393
100,1171807.01,186,4,104.091402
0.1,688285.72,193,4,9.668805
1,704685.19,193,4,11.96354
10,757040.11,193,4,26.761048
100,1198021.52,193,4,110.77516
0.1,691271.72,207,4,10.903827
10,762128.11,207,4,33.679915
0.1,694231.72,214,4,14.621076
1,711381.19,214,4,15.840269
10,766136.11,214,4,30.165154
100,1227803.52,214,4,122.339387
0.1,696285.65,221,4,11.5057
10,771929.65,221,4,32.83282
100,1258143.52,221,4,130.990721
100,1266117.52,228,4,151.013839
0.1,698327.65,235,4,12.613771
0.1,698413.65,243,4,12.872306
1,717960.65,243,4,15.628818
0.1,698501.65,251,4,14.595416
1,718796.65,251,4,16.437464
100,1331863.52,251,4,139.759445
1,719636.65,259,4,14.925045
10,786837.65,259,4,36.294264
100,1355785.52,259,4,141.539303
0.1,698641.65,267,4,17.361385
1,720194.65,267,4,22.686503
0.1,698671.65,275,4,15.19084
1,720474.65,275,4,17.099155
100,1379709.52,275,4,174.090839
10,790077.65,283,4,43.220379
100,1379709.52,283,4,166.16648
0.1,698759.65,291,4,13.064567
1,721314.65,291,4,17.441885
100,1403635.52,291,4,158.01438
0.1,698845.65,299,4,14.890945
1,722152.65,299,4,19.615135
0.1,698933.65,307,4,12.141644
10,799793.65,307,4,51.723686
100,1451479.52,307,4,164.269282
1,724666.65,323,4,23.507186
100,1499323.52,323,4,194.068907
1,726342.65,339,4,18.702374
10,815985.65,347,4,46.452251
100,1571089.52,347,4,182.930589
0.1,699451.65,355,4,12.652675
1,728020.65,355,4,16.928076
10,819223.65,355,4,44.184291
100,1595013.52,355,4,182.154186
100,1618939.52,363,4,192.673031
0.1,699625.65,371,4,12.326234
10,825701.65,371,4,47.914767
100,1642861.52,371,4,185.947584
1,730536.65,379,4,21.185976
10,832177.65,387,4,69.609719
100,1690705.52,387,4,210.381769
1,732210.65,395,4,17.991843
10,835417.65,395,4,51.602497
100,1714627.52,395,4,193.730231
100,1738549.52,403,4,234.04758
0.1,699971.65,411,4,12.098062
10,838655.65,411,4,51.15298
100,1738549.52,411,4,205.990521
0.1,702901.65,419,4,12.897898
1,735980.65,419,4,18.292451
1,738910.65,427,4,22.536606
100,1744409.52,427,4,214.158855
1,741840.65,435,4,18.585371
10,847445.65,435,4,53.012192
0.1,711691.65,443,4,16.205076
100,1750269.52,443,4,207.740335
1,747700.65,451,4,23.474219
0.1,714651.65,459,4,15.42292
0.1,717609.65,467,4,14.809153
0.1,720569.65,475,4,17.38979
10,862403.65,475,4,57.708971
100,1782983.52,475,4,229.745185
0.1,723527.65,483,4,13.861776
1,757608.65,483,4,18.506795
100,1793887.52,483,4,237.623749
0.1,726487.65,491,4,14.39346
10,870423.65,491,4,56.386694
100,1804791.52,491,4,230.763694
10,872581.65,499,4,71.326252
1,763886.65,507,4,20.856111
0.1,730565.65,515,4,15.190416
10,880807.65,515,4,64.369415
0.1,732501.72,523,4,15.578836
100,1854029.52,523,4,257.263092
10,746495.84,50,4,18.207065
0.1,705709.59,101,4,8.581233
1,721638.1,101,4,11.356645
10,772487.19,101,4,24.685958
0.1,719757.58,151,4,10.599774
100,1317843.53,151,4,98.390446
0.1,733977.58,202,4,8.888658
1,757924.1,202,4,11.450037
10,834375.19,202,4,26.639172
100,1483025.53,202,4,121.78211
10,839377.84,209,4,24.850935
100,1501266.03,209,4,116.084442
0.1,736963.04,216,4,10.021936
1,761390.7,216,4,15.047907
100,1501266.03,216,4,116.999837
0.1,742823.04,230,4,15.074681
10,845237.84,230,4,39.001208
100,1507126.03,230,4,121.177437
1,770178.7,237,4,16.30481
100,1510054.03,237,4,129.476385
0.1,748764.49,244,4,11.495906
1,773925.29,244,4,15.129583
0.1,751722.49,251,4,14.362392
10,858254.49,251,4,36.82078
100,1547170.53,251,4,130.423842
1,777413.29,258,4,16.461436
100,1566048.53,265,4,146.783667
0.1,756794.42,272,4,13.093197
1,783848.74,272,4,20.099812
10,870220.02,272,4,35.107692
100,1604366.54,272,4,179.37404
0.1,756850.42,279,4,13.544664
1,784406.74,279,4,17.235218
0.1,758864.42,286,4,16.018442
1,786920.74,286,4,22.961636
1,790148.2,293,4,23.352176
10,883365.56,293,4,42.240173
100,1676530.54,293,4,207.289472
0.1,762958.36,300,4,15.368369
1,792660.2,300,4,21.544594
10,887479.56,300,4,58.617849
100,1694432.54,300,4,170.327705
0.1,763076.36,308,4,14.874818
1,793774.2,308,4,21.40322
1,794894.2,316,4,22.524031
10,896113.56,316,4,45.417544
0.1,763246.36,324,4,17.626681
1,795454.2,324,4,22.540855
100,1774172.54,324,4,220.368813
1,796292.2,332,4,20.953444
10,901511.56,332,4,53.876296
100,1798094.54,332,4,185.847818
