% 500 Queries for each compute version
@RELATION TRAININGDATA
@ATTRIBUTE numberTables NUMERIC
@ATTRIBUTE selectivity NUMERIC
@ATTRIBUTE postgesEstCostMin NUMERIC
@ATTRIBUTE postgesEstCostMax NUMERIC
@ATTRIBUTE postgesEstNumRows NUMERIC
@ATTRIBUTE postgesEstWidth NUMERIC
@ATTRIBUTE myriaConsumerCount NUMERIC
@ATTRIBUTE myriaShuffleCount NUMERIC
@ATTRIBUTE myriaJoinCount NUMERIC
@ATTRIBUTE myriaProducerCount NUMERIC
@ATTRIBUTE myriaScanCount NUMERIC
@ATTRIBUTE shuffleLoad NUMERIC
@ATTRIBUTE numberOfWorkers NUMERIC
@ATTRIBUTE realTime NUMERIC
@DATA
2,0.1,82082.45,515441.75,14787,50,1,2,1,1,2,1500000,4,6.657360137
2,1,82082.45,518528.69,143091,50,1,2,1,1,2,15000000,4,6.307569834
2,10,82082.45,528386.95,552707,50,1,2,1,1,2,150000000,4,7.971882589
2,100,82082.45,603121.98,4082801,50,1,2,1,1,2,1500000000,4,22.46181157
2,0.1,83547.45,518427.2,14787,57,1,2,1,1,2,1500000,4,6.304507179
2,100,83547.45,621362.48,4082801,57,1,2,1,1,2,1500000000,4,24.83121172
2,0.1,83547.45,518427.2,14787,64,1,2,1,1,2,1500000,4,4.943590143
2,100,83547.45,621362.48,4082801,64,1,2,1,1,2,1500000000,4,28.70662715
2,0.1,85012.45,521357.2,14787,71,1,2,1,1,2,1500000,4,7.834790398
2,100,85012.45,624292.48,4082801,71,1,2,1,1,2,1500000000,4,30.4982657
2,0.1,87941.45,527245.2,14787,93,1,2,1,1,2,1500000,4,6.098158662
2,10,87941.45,543255.6,552707,93,1,2,1,1,2,150000000,4,10.48196113
2,100,87941.45,638124.48,4082801,93,1,2,1,1,2,1500000000,4,43.86033849
2,100,87941.45,646098.48,4082801,101,1,2,1,1,2,1500000000,4,42.71195616
2,10,87941.45,545415.6,552707,109,1,2,1,1,2,150000000,4,13.75964557
2,100,87941.45,654072.48,4082801,109,1,2,1,1,2,1500000000,4,51.64334745
2,10,87941.45,546495.6,552707,117,1,2,1,1,2,150000000,4,14.33748236
2,100,87941.45,662046.48,4082801,117,1,2,1,1,2,1500000000,4,45.03478186
2,0.1,87941.45,527359.2,14787,125,1,2,1,1,2,1500000,4,5.94822002
2,1,87941.45,532181.28,143091,125,1,2,1,1,2,15000000,4,6.434021115
2,0.1,87941.45,527359.2,14787,133,1,2,1,1,2,1500000,4,5.999277776
2,1,87941.45,532181.28,143091,133,1,2,1,1,2,15000000,4,6.700040002
2,10,87941.45,547573.6,552707,133,1,2,1,1,2,150000000,4,13.93489438
2,100,87941.45,670020.48,4082801,133,1,2,1,1,2,1500000000,4,58.27012861
2,1,87941.45,532461.28,143091,141,1,2,1,1,2,15000000,4,6.827555262
2,100,87941.45,677996.48,4082801,141,1,2,1,1,2,1500000000,4,49.96415937
2,1,87941.45,533019.28,143091,157,1,2,1,1,2,15000000,4,7.051501502
2,10,87941.45,550813.6,552707,157,1,2,1,1,2,150000000,4,12.59646589
2,100,87941.45,693944.48,4082801,157,1,2,1,1,2,1500000000,4,65.29999882
2,1,87941.45,533299.28,143091,165,1,2,1,1,2,15000000,4,7.3886159
2,10,87941.45,551891.6,552707,165,1,2,1,1,2,150000000,4,18.98524038
2,100,87941.45,701918.48,4082801,165,1,2,1,1,2,1500000000,4,60.70265191
2,0.1,87941.45,527505.2,14787,173,1,2,1,1,2,1500000,4,5.984664637
2,1,87941.45,533579.28,143091,173,1,2,1,1,2,15000000,4,7.260795187
2,0.1,87941.45,527533.2,14787,181,1,2,1,1,2,1500000,4,6.490599018
2,1,87941.45,533859.28,143091,181,1,2,1,1,2,15000000,4,7.259546674
2,1,87941.45,534137.28,143091,189,1,2,1,1,2,15000000,4,7.620014427
2,1,87941.45,534417.28,143091,197,1,2,1,1,2,15000000,4,7.439795345
2,100,87941.45,733814.48,4082801,197,1,2,1,1,2,1500000000,4,82.23958965
2,0.1,87941.45,527619.2,14787,205,1,2,1,1,2,1500000,4,5.941340275
2,10,87941.45,557289.6,552707,205,1,2,1,1,2,150000000,4,21.55313225
2,0.1,87941.45,527649.2,14787,213,1,2,1,1,2,1500000,4,7.424547994
2,100,87941.45,749764.48,4082801,213,1,2,1,1,2,1500000000,4,73.79037233
2,10,87941.45,559449.6,552707,221,1,2,1,1,2,150000000,4,17.91769726
2,0.1,87941.45,527707.2,14787,229,1,2,1,1,2,1500000,4,5.9965139
2,1,87941.45,535535.28,143091,229,1,2,1,1,2,15000000,4,8.845010275
2,100,87941.45,765712.48,4082801,229,1,2,1,1,2,1500000000,4,86.28749378
2,0.1,87941.45,527735.2,14787,237,1,2,1,1,2,1500000,4,5.771976997
2,1,87941.45,535815.28,143091,237,1,2,1,1,2,15000000,4,8.344992136
2,10,87941.45,562687.6,552707,245,1,2,1,1,2,150000000,4,15.95529267
2,10,87941.45,563767.6,552707,253,1,2,1,1,2,150000000,4,19.46153644
2,100,87941.45,789634.48,4082801,253,1,2,1,1,2,1500000000,4,86.96605093
2,10,89406.45,566697.6,552707,269,1,2,1,1,2,150000000,4,19.65331144
2,100,89406.45,792564.48,4082801,269,1,2,1,1,2,1500000000,4,97.48205389
2,0.1,90871.45,533653.2,14787,277,1,2,1,1,2,1500000,4,6.605375972
2,1,90871.45,542233.28,143091,277,1,2,1,1,2,15000000,4,8.536729841
2,10,92336.45,572557.6,552707,285,1,2,1,1,2,150000000,4,20.86847674
2,100,92336.45,798424.48,4082801,285,1,2,1,1,2,1500000000,4,96.98400339
2,0.1,93801.45,539513.2,14787,293,1,2,1,1,2,1500000,4,6.923907134
2,10,93801.45,575487.6,552707,293,1,2,1,1,2,150000000,4,18.22234815
2,100,93801.45,801354.48,4082801,293,1,2,1,1,2,1500000000,4,99.32437087
2,0.1,95266.45,542443.2,14787,301,1,2,1,1,2,1500000,4,7.389330518
2,10,95266.45,578417.6,552707,301,1,2,1,1,2,150000000,4,18.40797852
2,100,95266.45,804284.48,4082801,301,1,2,1,1,2,1500000000,4,100.944871
3,0.1,150892.45,590553.49,14787,50,1,2,2,1,3,1500000,4,5.445285146
3,1,150892.45,597458.51,143091,50,1,2,2,1,3,15000000,4,5.826795284
3,100,150892.45,799320,4082801,50,1,2,2,1,3,1500000000,4,34.51891386
3,100,161146.45,860337.49,4082801,101,1,2,2,1,3,1500000000,4,42.0358792
3,1,162611.45,622854.51,143091,108,1,2,2,1,3,15000000,4,7.155726193
3,100,162611.45,878578,4082801,108,1,2,2,1,3,1500000000,4,42.83055918
3,0.1,162611.45,614193.49,14787,115,1,2,2,1,3,1500000,4,6.918127024
3,10,162611.45,650503.09,552707,115,1,2,2,1,3,150000000,4,12.26853512
3,100,162611.45,878578,4082801,115,1,2,2,1,3,1500000000,4,47.19389566
3,0.1,164076.45,617123.49,14787,122,1,2,2,1,3,1500000,4,7.312073007
3,1,164076.45,625784.51,143091,122,1,2,2,1,3,15000000,4,8.179726578
3,1,165541.45,628714.51,143091,129,1,2,2,1,3,15000000,4,9.824562706
3,1,167005.45,631642.51,143091,136,1,2,2,1,3,15000000,4,8.487566868
3,0.1,168470.45,625996.94,14787,143,1,2,2,1,3,1500000,4,10.79084774
3,1,168470.45,635387.1,143091,143,1,2,2,1,3,15000000,4,8.893703246
3,10,168470.45,665373.74,552707,143,1,2,2,1,3,150000000,4,20.3688638
3,100,168470.45,913580.5,4082801,143,1,2,2,1,3,1500000000,4,65.26544997
3,10,169934.45,669379.74,552707,150,1,2,2,1,3,150000000,4,17.58648945
3,100,171399.45,935386.5,4082801,164,1,2,2,1,3,1500000000,4,76.78461642
3,0.1,171399.45,631968.94,14787,172,1,2,2,1,3,1500000,4,9.706409965
3,10,171399.45,675549.74,552707,172,1,2,2,1,3,150000000,4,26.24402038
3,100,171399.45,967282.5,4082801,180,1,2,2,1,3,1500000000,4,82.14447703
3,1,171399.45,643481.1,143091,188,1,2,2,1,3,15000000,4,11.73207937
3,100,171399.45,983230.5,4082801,188,1,2,2,1,3,1500000000,4,86.66108623
3,10,171399.45,682025.74,552707,196,1,2,2,1,3,150000000,4,23.82160046
3,0.1,171399.45,632170.94,14787,204,1,2,2,1,3,1500000,4,13.35808118
3,1,171399.45,644321.1,143091,204,1,2,2,1,3,15000000,4,12.8004258
3,1,171399.45,644321.1,143091,212,1,2,2,1,3,15000000,4,11.65177894
3,10,171399.45,683105.74,552707,212,1,2,2,1,3,150000000,4,27.36778186
3,100,171399.45,1007154.5,4082801,212,1,2,2,1,3,1500000000,4,91.59960933
3,0.1,171399.45,632228.94,14787,220,1,2,2,1,3,1500000,4,9.538919122
3,10,171399.45,685265.74,552707,220,1,2,2,1,3,150000000,4,29.17855872
3,100,171399.45,1023104.5,4082801,220,1,2,2,1,3,1500000000,4,98.05808807
3,1,171399.45,645439.1,143091,228,1,2,2,1,3,15000000,4,11.08174198
3,10,171399.45,687423.74,552707,228,1,2,2,1,3,150000000,4,24.46463938
3,100,171399.45,1039052.5,4082801,228,1,2,2,1,3,1500000000,4,97.45487257
3,0.1,171399.45,632344.94,14787,236,1,2,2,1,3,1500000,4,9.786200619
3,1,171399.45,645997.1,143091,236,1,2,2,1,3,15000000,4,10.96280287
3,100,171399.45,1055000.5,4082801,236,1,2,2,1,3,1500000000,4,116.993483
3,0.1,171399.45,632402.94,14787,244,1,2,2,1,3,1500000,4,9.966160877
3,1,171399.45,646555.1,143091,244,1,2,2,1,3,15000000,4,11.28813213
3,10,171399.45,691741.74,552707,244,1,2,2,1,3,150000000,4,26.07837752
3,10,171399.45,693901.74,552707,252,1,2,2,1,3,150000000,4,29.58260853
3,0.1,171399.45,632518.94,14787,260,1,2,2,1,3,1500000,4,10.38388937
3,1,171399.45,647675.1,143091,260,1,2,2,1,3,15000000,4,12.76162956
3,10,171399.45,696059.74,552707,260,1,2,2,1,3,150000000,4,28.07767216
3,100,171399.45,1102844.5,4082801,260,1,2,2,1,3,1500000000,4,105.7047268
3,1,171399.45,648233.1,143091,268,1,2,2,1,3,15000000,4,12.13317839
3,10,171399.45,698219.74,552707,268,1,2,2,1,3,150000000,4,26.1908934
3,1,171399.45,648791.1,143091,276,1,2,2,1,3,15000000,4,14.79830718
3,0.1,171399.45,632690.94,14787,284,1,2,2,1,3,1500000,4,10.68137007
3,1,171399.45,649351.1,143091,284,1,2,2,1,3,15000000,4,18.7797544
3,10,171399.45,704695.74,552707,292,1,2,2,1,3,150000000,4,31.15761592
3,0.1,171399.45,632806.94,14787,300,1,2,2,1,3,1500000,4,11.42458681
3,100,171399.45,1182588.5,4082801,300,1,2,2,1,3,1500000000,4,126.1212144
3,100,171399.45,1198536.5,4082801,308,1,2,2,1,3,1500000000,4,130.5934861
3,1,171399.45,651587.1,143091,316,1,2,2,1,3,15000000,4,13.28935407
3,10,171399.45,711173.74,552707,316,1,2,2,1,3,150000000,4,38.44816596
3,1,171399.45,652145.1,143091,324,1,2,2,1,3,15000000,4,14.63416035
3,0.1,171399.45,633036.94,14787,332,1,2,2,1,3,1500000,4,10.05621626
3,1,171399.45,652705.1,143091,332,1,2,2,1,3,15000000,4,16.25257981
3,100,171399.45,1246380.5,4082801,332,1,2,2,1,3,1500000000,4,136.4891408
3,10,171399.45,715491.74,552707,340,1,2,2,1,3,150000000,4,29.4881729
3,0.1,172864.45,635966.94,14787,348,1,2,2,1,3,1500000,4,13.1112781
3,100,172864.45,1249310.5,4082801,348,1,2,2,1,3,1500000000,4,146.2585272
3,10,174329.45,721351.74,552707,356,1,2,2,1,3,150000000,4,30.81201027
3,100,174329.45,1252240.5,4082801,356,1,2,2,1,3,1500000000,4,152.952202
3,10,175794.45,724281.74,552707,364,1,2,2,1,3,150000000,4,51.76803948
3,10,177259.45,727211.74,552707,372,1,2,2,1,3,150000000,4,32.788478
3,100,177259.45,1258100.5,4082801,372,1,2,2,1,3,1500000000,4,151.926378
3,10,178724.45,730141.74,552707,380,1,2,2,1,3,150000000,4,61.65776703
3,100,178724.45,1261030.5,4082801,380,1,2,2,1,3,1500000000,4,182.0904389
