type,queryNum,expected,actual,workers
direct,1,39.9384,99.846,4
direct,2,52.4492,52.579,12
direct,3,53.58160000000001,53.329,12
direct,4,63.85,68.018,12
direct,5,63.6052,67.503,12
direct,6,25.3912,18.424,12
direct,7,28.834400000000002,22.245,12
direct,8,50.619600000000005,45.551,12
direct,9,67.0096,68.17,12
direct,10,90.8784,94.805,12
direct,11,199.692,34.821,12
direct,12,262.246,52.579,12
direct,13,267.908,53.329,12
direct,14,319.25,68.018,12
direct,15,318.026,67.503,12
direct,16,126.956,37.678,10
direct,17,144.172,72.086,4
direct,18,253.098,126.549,4
direct,19,335.048,167.524,4
direct,20,454.392,227.196,4
direct,21,199.692,99.846,4
direct,22,262.246,131.123,4
direct,23,267.908,133.954,4
direct,24,319.25,159.625,4
direct,25,318.026,159.013,4
direct,26,126.956,63.478,4
direct,27,144.172,72.086,4
direct,28,253.098,126.549,4
direct,29,335.048,167.524,4
direct,30,454.392,227.196,4
direct,31,199.692,99.846,4
direct,32,262.246,131.123,4
direct,33,267.908,133.954,4
direct,34,319.25,159.625,4
direct,35,318.026,159.013,4
direct,36,126.956,63.478,4
direct,37,144.172,72.086,4
direct,38,253.098,126.549,4
direct,39,335.048,167.524,4
direct,40,454.392,227.196,4
direct,41,199.692,99.846,4
direct,42,262.246,131.123,4
direct,43,267.908,133.954,4
direct,44,319.25,159.625,4
direct,45,318.026,159.013,4
direct,46,126.956,63.478,4
direct,47,144.172,72.086,4
direct,48,253.098,126.549,4
direct,49,335.048,167.524,4
direct,50,454.392,227.196,4
direct,51,39.9384,99.846,4
direct,52,52.4492,52.579,12
direct,53,53.58160000000001,53.329,12
direct,54,63.85,68.018,12
direct,55,63.6052,67.503,12
direct,56,25.3912,18.424,12
direct,57,28.834400000000002,22.245,12
direct,58,50.619600000000005,45.551,12
direct,59,67.0096,68.17,12
direct,60,90.8784,94.805,12
direct,61,39.9384,34.821,12
direct,62,52.4492,52.579,12
direct,63,53.58160000000001,53.329,12
direct,64,63.85,68.018,12
direct,65,63.6052,67.503,12
direct,66,25.3912,18.424,12
direct,67,28.834400000000002,22.245,12
direct,68,50.619600000000005,45.551,12
direct,69,67.0096,68.17,12
direct,70,90.8784,94.805,12
direct,71,39.9384,34.821,12
direct,72,52.4492,52.579,12
direct,73,53.58160000000001,53.329,12
direct,74,63.85,68.018,12
direct,75,63.6052,67.503,12
direct,76,25.3912,18.424,12
direct,77,28.834400000000002,22.245,12
direct,78,50.619600000000005,45.551,12
direct,79,67.0096,68.17,12
direct,80,90.8784,94.805,12
direct,81,39.9384,34.821,12
direct,82,52.4492,52.579,12
direct,83,53.58160000000001,53.329,12
direct,84,63.85,68.018,12
direct,85,63.6052,67.503,12
direct,86,25.3912,18.424,12
direct,87,28.834400000000002,22.245,12
direct,88,50.619600000000005,45.551,12
direct,89,67.0096,68.17,12
direct,90,90.8784,94.805,12
direct,91,39.9384,34.821,12
direct,92,52.4492,52.579,12
direct,93,53.58160000000001,53.329,12
direct,94,63.85,68.018,12
direct,95,63.6052,67.503,12
direct,96,25.3912,18.424,12
direct,97,28.834400000000002,22.245,12
direct,98,50.619600000000005,45.551,12
direct,99,67.0096,68.17,12
direct,100,90.8784,94.805,12
ewma,1,39.9384,99.846,4
ewma,2,52.4492,104.783,6
ewma,3,53.58160000000001,81.686,8
ewma,4,63.85,84.422,10
ewma,5,63.6052,67.503,12
ewma,6,25.3912,18.424,12
ewma,7,28.834400000000002,22.245,12
ewma,8,50.619600000000005,72.455,10
ewma,9,67.0096,91.22,10
ewma,10,90.8784,118.127,10
ewma,11,199.692,34.821,12
ewma,12,262.246,52.579,12
ewma,13,267.908,53.329,12
ewma,14,319.25,68.018,12
ewma,15,318.026,67.503,12
ewma,16,126.956,18.424,12
ewma,17,144.172,22.245,12
ewma,18,253.098,72.455,10
ewma,19,335.048,103.819,8
ewma,20,454.392,170.73,6
ewma,21,199.692,99.846,4
ewma,22,262.246,131.123,4
ewma,23,267.908,133.954,4
ewma,24,319.25,159.625,4
ewma,25,318.026,159.013,4
ewma,26,126.956,63.478,4
ewma,27,144.172,72.086,4
ewma,28,253.098,126.549,4
ewma,29,335.048,167.524,4
ewma,30,454.392,227.196,4
ewma,31,199.692,99.846,4
ewma,32,262.246,131.123,4
ewma,33,267.908,133.954,4
ewma,34,319.25,159.625,4
ewma,35,318.026,159.013,4
ewma,36,126.956,63.478,4
ewma,37,144.172,72.086,4
ewma,38,253.098,126.549,4
ewma,39,335.048,167.524,4
ewma,40,454.392,227.196,4
ewma,41,199.692,99.846,4
ewma,42,262.246,131.123,4
ewma,43,267.908,133.954,4
ewma,44,319.25,159.625,4
ewma,45,318.026,159.013,4
ewma,46,126.956,63.478,4
ewma,47,144.172,72.086,4
ewma,48,253.098,126.549,4
ewma,49,335.048,167.524,4
ewma,50,454.392,227.196,4
ewma,51,39.9384,99.846,4
ewma,52,52.4492,131.123,4
ewma,53,53.58160000000001,133.954,4
ewma,54,63.85,118.802,6
ewma,55,63.6052,97.312,8
ewma,56,25.3912,37.678,10
ewma,57,28.834400000000002,22.245,12
ewma,58,50.619600000000005,45.551,12
ewma,59,67.0096,68.17,12
ewma,60,90.8784,94.805,12
ewma,61,39.9384,34.821,12
ewma,62,52.4492,52.579,12
ewma,63,53.58160000000001,53.329,12
ewma,64,63.85,68.018,12
ewma,65,63.6052,67.503,12
ewma,66,25.3912,18.424,12
ewma,67,28.834400000000002,22.245,12
ewma,68,50.619600000000005,45.551,12
ewma,69,67.0096,68.17,12
ewma,70,90.8784,94.805,12
ewma,71,39.9384,34.821,12
ewma,72,52.4492,52.579,12
ewma,73,53.58160000000001,53.329,12
ewma,74,63.85,68.018,12
ewma,75,63.6052,67.503,12
ewma,76,25.3912,18.424,12
ewma,77,28.834400000000002,22.245,12
ewma,78,50.619600000000005,45.551,12
ewma,79,67.0096,68.17,12
ewma,80,90.8784,94.805,12
ewma,81,39.9384,34.821,12
ewma,82,52.4492,52.579,12
ewma,83,53.58160000000001,53.329,12
ewma,84,63.85,68.018,12
ewma,85,63.6052,67.503,12
ewma,86,25.3912,18.424,12
ewma,87,28.834400000000002,22.245,12
ewma,88,50.619600000000005,45.551,12
ewma,89,67.0096,68.17,12
ewma,90,90.8784,94.805,12
ewma,91,39.9384,34.821,12
ewma,92,52.4492,52.579,12
ewma,93,53.58160000000001,53.329,12
ewma,94,63.85,68.018,12
ewma,95,63.6052,67.503,12
ewma,96,25.3912,18.424,12
ewma,97,28.834400000000002,22.245,12
ewma,98,50.619600000000005,45.551,12
ewma,99,67.0096,68.17,12
ewma,100,90.8784,94.805,12
window,1,39.9384,99.846,4
window,2,52.4492,131.123,4
window,3,53.58160000000001,133.954,4
window,4,63.85,159.625,4
window,5,63.6052,159.013,4
window,6,25.3912,63.478,4
window,7,28.834400000000002,72.086,4
window,8,50.619600000000005,126.549,4
window,9,67.0096,167.524,4
window,10,90.8784,227.196,4
window,11,199.692,80.294,6
window,12,262.246,104.783,6
window,13,267.908,100.611,6
window,14,319.25,118.802,6
window,15,318.026,116.554,6
window,16,126.956,51.55,6
window,17,144.172,61.96,6
window,18,253.098,99.443,6
window,19,335.048,131.814,6
window,20,454.392,170.73,6
window,21,199.692,99.846,4
window,22,262.246,131.123,4
window,23,267.908,133.954,4
window,24,319.25,159.625,4
window,25,318.026,159.013,4
window,26,126.956,63.478,4
window,27,144.172,72.086,4
window,28,253.098,126.549,4
window,29,335.048,167.524,4
window,30,454.392,227.196,4
window,31,199.692,99.846,4
window,32,262.246,131.123,4
window,33,267.908,133.954,4
window,34,319.25,159.625,4
window,35,318.026,159.013,4
window,36,126.956,63.478,4
window,37,144.172,72.086,4
window,38,253.098,126.549,4
window,39,335.048,167.524,4
window,40,454.392,227.196,4
window,41,199.692,99.846,4
window,42,262.246,131.123,4
window,43,267.908,133.954,4
window,44,319.25,159.625,4
window,45,318.026,159.013,4
window,46,126.956,63.478,4
window,47,144.172,72.086,4
window,48,253.098,126.549,4
window,49,335.048,167.524,4
window,50,454.392,227.196,4
window,51,39.9384,99.846,4
window,52,52.4492,131.123,4
window,53,53.58160000000001,133.954,4
window,54,63.85,159.625,4
window,55,63.6052,159.013,4
window,56,25.3912,63.478,4
window,57,28.834400000000002,72.086,4
window,58,50.619600000000005,126.549,4
window,59,67.0096,167.524,4
window,60,90.8784,227.196,4
window,61,39.9384,80.294,6
window,62,52.4492,104.783,6
window,63,53.58160000000001,100.611,6
window,64,63.85,118.802,6
window,65,63.6052,116.554,6
window,66,25.3912,51.55,6
window,67,28.834400000000002,61.96,6
window,68,50.619600000000005,99.443,6
window,69,67.0096,131.814,6
window,70,90.8784,170.73,6
window,71,39.9384,66.01,8
window,72,52.4492,81.222,8
window,73,53.58160000000001,81.686,8
window,74,63.85,100.937,8
window,75,63.6052,97.312,8
window,76,25.3912,41.069,8
window,77,28.834400000000002,47.275,8
window,78,50.619600000000005,84.03,8
window,79,67.0096,103.819,8
window,80,90.8784,131.63,8
window,81,39.9384,61.339,10
window,82,52.4492,73.414,10
window,83,53.58160000000001,76.352,10
window,84,63.85,84.422,10
window,85,63.6052,84.429,10
window,86,25.3912,37.678,10
window,87,28.834400000000002,42.717,10
window,88,50.619600000000005,72.455,10
window,89,67.0096,91.22,10
window,90,90.8784,118.127,10
window,91,39.9384,34.821,12
window,92,52.4492,52.579,12
window,93,53.58160000000001,53.329,12
window,94,63.85,68.018,12
window,95,63.6052,67.503,12
window,96,25.3912,18.424,12
window,97,28.834400000000002,22.245,12
window,98,50.619600000000005,45.551,12
window,99,67.0096,68.17,12
window,100,90.8784,94.805,12
ideal,1,0.0,0.0,12
ideal,2,0.0,0.0,12
ideal,3,0.0,0.0,12
ideal,4,0.0,0.0,12
ideal,5,0.0,0.0,12
ideal,6,0.0,0.0,12
ideal,7,0.0,0.0,12
ideal,8,0.0,0.0,12
ideal,9,0.0,0.0,12
ideal,10,0.0,0.0,12
ideal,11,0.0,0.0,4
ideal,12,0.0,0.0,4
ideal,13,0.0,0.0,4
ideal,14,0.0,0.0,4
ideal,15,0.0,0.0,4
ideal,16,0.0,0.0,4
ideal,17,0.0,0.0,4
ideal,18,0.0,0.0,4
ideal,19,0.0,0.0,4
ideal,20,0.0,0.0,4
ideal,21,0.0,0.0,4
ideal,22,0.0,0.0,4
ideal,23,0.0,0.0,4
ideal,24,0.0,0.0,4
ideal,25,0.0,0.0,4
ideal,26,0.0,0.0,4
ideal,27,0.0,0.0,4
ideal,28,0.0,0.0,4
ideal,29,0.0,0.0,4
ideal,30,0.0,0.0,4
ideal,31,0.0,0.0,4
ideal,32,0.0,0.0,4
ideal,33,0.0,0.0,4
ideal,34,0.0,0.0,4
ideal,35,0.0,0.0,4
ideal,36,0.0,0.0,4
ideal,37,0.0,0.0,4
ideal,38,0.0,0.0,4
ideal,39,0.0,0.0,4
ideal,40,0.0,0.0,4
ideal,41,0.0,0.0,4
ideal,42,0.0,0.0,4
ideal,43,0.0,0.0,4
ideal,44,0.0,0.0,4
ideal,45,0.0,0.0,4
ideal,46,0.0,0.0,4
ideal,47,0.0,0.0,4
ideal,48,0.0,0.0,4
ideal,49,0.0,0.0,4
ideal,50,0.0,0.0,4
ideal,51,0.0,0.0,12
ideal,52,0.0,0.0,12
ideal,53,0.0,0.0,12
ideal,54,0.0,0.0,12
ideal,55,0.0,0.0,12
ideal,56,0.0,0.0,12
ideal,57,0.0,0.0,12
ideal,58,0.0,0.0,12
ideal,59,0.0,0.0,12
ideal,60,0.0,0.0,12
ideal,61,0.0,0.0,12
ideal,62,0.0,0.0,12
ideal,63,0.0,0.0,12
ideal,64,0.0,0.0,12
ideal,65,0.0,0.0,12
ideal,66,0.0,0.0,12
ideal,67,0.0,0.0,12
ideal,68,0.0,0.0,12
ideal,69,0.0,0.0,12
ideal,70,0.0,0.0,12
ideal,71,0.0,0.0,12
ideal,72,0.0,0.0,12
ideal,73,0.0,0.0,12
ideal,74,0.0,0.0,12
ideal,75,0.0,0.0,12
ideal,76,0.0,0.0,12
ideal,77,0.0,0.0,12
ideal,78,0.0,0.0,12
ideal,79,0.0,0.0,12
ideal,80,0.0,0.0,12
ideal,81,0.0,0.0,12
ideal,82,0.0,0.0,12
ideal,83,0.0,0.0,12
ideal,84,0.0,0.0,12
ideal,85,0.0,0.0,12
ideal,86,0.0,0.0,12
ideal,87,0.0,0.0,12
ideal,88,0.0,0.0,12
ideal,89,0.0,0.0,12
ideal,90,0.0,0.0,12
ideal,91,0.0,0.0,12
ideal,92,0.0,0.0,12
ideal,93,0.0,0.0,12
ideal,94,0.0,0.0,12
ideal,95,0.0,0.0,12
ideal,96,0.0,0.0,12
ideal,97,0.0,0.0,12
ideal,98,0.0,0.0,12
ideal,99,0.0,0.0,12
ideal,100,0.0,0.0,12
